Inicio,Fim,SE,Confirmados,Prováveis,Suspeitos,Descartados,Perdas de Seguimento,Exclusões,Óbitos,Total Casos Novos,Notificados
12/07/2022,17/07/2022,29,1,1,4,2,0,0,0,2,8
18/07/2022,22/07/2022,29,2,2,8,3,0,0,0,4,15
23/07/2022,28/07/2022,30,3,3,13,5,0,0,0,6,24
29/07/2022,02/08/2022,31,5,6,22,8,1,0,0,11,42
03/08/2022,08/08/2022,32,8,7,38,13,0,1,0,15,67
09/08/2022,13/08/2022,32,9,7,43,21,0,0,0,16,80
14/08/2022,19/08/2022,33,8,8,38,28,2,1,0,16,85
20/08/2022,24/08/2022,34,9,4,43,35,0,0,0,13,91
25/08/2022,30/08/2022,34,14,5,65,43,0,0,0,19,127
31/08/2022,04/09/2022,35,16,4,67,38,1,1,0,20,127
05/09/2022,10/09/2022,35,11,3,45,29,0,0,0,14,88
11/09/2022,15/09/2022,35,10,2,41,21,1,1,0,12,76
16/09/2022,19/09/2022,36,15,0,17,19,4,0,0,15,55
20/09/2022,22/09/2022,36,7,1,37,31,1,1,0,8,78
23/09/2022,26/09/2022,37,8,6,77,25,-1,3,0,14,118
27/09/2022,29/09/2022,37,2,8,35,14,9,0,0,10,68
30/09/2022,03/10/2022,38,16,-4,51,15,2,6,0,12,86
04/10/2022,06/10/2022,38,10,2,46,33,1,0,0,12,92
07/10/2022,10/10/2022,39,10,-3,-52,81,13,0,0,7,49
11/10/2022,13/10/2022,39,0,-1,43,12,4,0,0,-1,58
14/10/2022,17/10/2022,40,0,-1,41,6,2,0,0,-1,48
18/10/2022,20/10/2022,40,1,0,34,17,8,0,0,1,61
21/10/2022,24/10/2022,41,0,3,57,4,1,0,0,3,65
25/10/2022,27/10/2022,41,3,3,55,-1,0,0,0,6,60
28/10/2022,31/10/2022,42,10,1,3,9,7,0,0,11,30
01/11/2022,03/11/2022,42,8,1,-9,7,0,0,0,9,7
