Inicio,Fim,SE,Confirmados,Prováveis,Suspeitos,Descartados,Perdas de Seguimento,Exclusões,Óbitos,Total Casos Novos,Notificados
12/07/2022,17/07/2022,30,1,0,1,1,0,0,0,1,3
18/07/2022,22/07/2022,31,3,0,0,0,0,0,0,3,3
23/07/2022,28/07/2022,31,4,0,1,0,0,0,0,4,5
29/07/2022,02/08/2022,32,1,0,3,1,1,0,0,1,6
03/08/2022,08/08/2022,32,3,0,1,0,0,0,0,3,4
09/08/2022,13/08/2022,33,3,1,2,1,1,0,0,4,8
14/08/2022,19/08/2022,33,12,0,10,2,0,0,0,12,24
20/08/2022,24/08/2022,34,10,0,6,2,0,0,0,10,18
25/08/2022,30/08/2022,34,7,1,12,3,0,0,0,8,23
31/08/2022,04/09/2022,35,4,0,14,3,0,0,0,4,21
05/09/2022,10/09/2022,35,2,0,23,9,1,0,0,2,35
11/09/2022,15/09/2022,36,1,1,25,18,0,1,0,2,46
16/09/2022,19/09/2022,36,0,0,16,16,0,0,0,0,32
20/09/2022,22/09/2022,37,4,0,27,8,1,1,0,4,41
23/09/2022,26/09/2022,37,4,0,27,6,0,2,0,4,39
27/09/2022,29/09/2022,38,0,1,36,0,1,0,0,1,38
30/09/2022,03/10/2022,38,12,0,10,9,0,0,0,12,31
04/10/2022,06/10/2022,39,2,0,6,21,0,0,0,2,29
07/10/2022,10/10/2022,39,2,0,-8,5,17,0,0,2,16
11/10/2022,13/10/2022,40,0,0,4,9,9,0,0,0,22
